capcode,capcode_short,discipline,service,region,region_code,location,station,unit_type,unit_type_name,callsign,unit_number,description,remark,status,confidence,sources,source_urls
001403419,1403419,Brandweer,Brandweer,Zuid-Holland Zuid,,,,,,,,Brandweer Zuid-Holland Zuid,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628
001403420,1403420,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Commandant ),,,,,Post commandant,,conflict,low,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403421,1403421,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Plv commandant,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403422,1403422,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Commandant,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403424,1403424,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Numansdorp prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403425,1403425,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Numansdorp prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403426,1403426,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Klaaswaal prio 2,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403427,1403427,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,Cromstrijen,,,,,Klaaswaal prio 1,,ok,high,bommel,https://p2000.bommel.net/cap2csv.php
001403428,1403428,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,oproep,,,,,Numansdorp kazerne oproep,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403429,1403429,Brandweer,Brandweer,Zuid-Holland Zuid,,Cromstrijen,oproep,,,,,Klaaswaal kazerne oproep,,ok,high,bommel;capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628;https://p2000.bommel.net/cap2csv.php
001403554,1403554,Brandweer,Brandweer,Zuid-Holland Zuid,,,,,,,,Brandweer Zuid-Holland Zuid,,ok,high,capcodes_eu;tomzulu,https://capcodes.eu/;https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-BD1gVKHgZnEYcvr21gnNtFN6x7CQ-WMqwU4AQNHvnPXsuz5ie92K6E1R9MZrt6VleswOqKMgeWMl/pubhtml/sheet?headers=false&gid=152331628
